transaction_id,date,product,category,quantity,unit_price,total_amount,region,sales_rep,customer_rating
TXN10001,2023-10-17,Wireless Mouse,Electronics,2,32.16,64.32,South,Bob Smith,5
TXN10002,2022-01-31,Wireless Mouse,Electronics,5,27.58,137.9,North,David Wilson,5
TXN10003,2022-10-12,Printer Paper,Office Supplies,6,21.29,127.74,West,Frank Miller,4
TXN10004,2023-01-25,Wireless Mouse,Electronics,5,33.12,165.6,South,Alice Johnson,5
TXN10005,2023-07-20,Monitor 27inch,Electronics,3,363.5,1090.5,East,Bob Smith,2
TXN10006,2022-08-27,Printer Paper,Office Supplies,15,24.09,361.35,West,Frank Miller,3
TXN10007,2023-12-01,Wireless Mouse,Electronics,8,31.2,249.6,West,Carol Davis,4
TXN10008,2022-08-13,Pen Set,Office Supplies,2,9.91,19.82,South,Alice Johnson,5
TXN10009,2023-08-04,Stapler,Office Supplies,16,7.55,120.8,East,Henry Taylor,3
TXN10010,2023-08-22,Desk Lamp,Furniture,2,35.87,71.74,South,Carol Davis,4
TXN10011,2023-10-05,Wireless Mouse,Electronics,5,31.61,158.05,North,Grace Lee,4
TXN10012,2022-01-12,Pen Set,Office Supplies,18,7.95,143.1,Central,Frank Miller,3
TXN10013,2022-09-27,Whiteboard,Office Supplies,17,49.6,843.2,Central,Emma Brown,5
TXN10014,2022-06-15,Notebook Pack,Office Supplies,17,,239.36,Central,Jack Anderson,4
TXN10015,2022-11-11,Wireless Mouse,Electronics,2,33.39,66.78,North,Henry Taylor,5
TXN10016,2023-11-07,Stapler,Office Supplies,19,7.19,136.61,Central,Grace Lee,5
TXN10017,2024-01-01,Webcam HD,Electronics,3,91.87,275.61,East,Iris Chen,
TXN10018,2023-07-22,USB-C Hub,Electronics,1,45.79,45.79,West,Alice Johnson,4
TXN10019,2022-09-01,Monitor 27inch,Electronics,5,348.46,1742.3,North,Jack Anderson,4
TXN10020,2022-04-07,Wireless Mouse,Electronics,4,29.37,117.48,East,Alice Johnson,5
TXN10021,2022-12-14,Mechanical Keyboard,Electronics,5,117.91,589.55,North,Carol Davis,4
TXN10022,2023-07-18,Wireless Mouse,Electronics,5,31.36,156.8,Central,Bob Smith,5
TXN10023,2022-08-07,Printer Paper,Office Supplies,6,28.01,168.06,South,Grace Lee,4
TXN10024,2023-07-24,Pen Set,Office Supplies,7,8.95,62.65,South,Alice Johnson,4
TXN10025,2023-08-22,Desk Lamp,Furniture,3,39.39,118.17,North,Iris Chen,3
TXN10026,2022-08-29,Desk Lamp,Furniture,3,39.63,118.89,South,Jack Anderson,2
TXN10027,2022-11-20,USB-C Hub,Electronics,4,53.23,212.92,South,Carol Davis,5
TXN10028,2022-03-16,Laptop,Electronics,5,932.7,4663.5,Central,Bob Smith,4
TXN10029,2022-03-12,Stapler,Office Supplies,6,7.68,46.08,East,Iris Chen,5
TXN10030,2022-01-09,Pen Set,Office Supplies,4,9.14,36.56,Central,Carol Davis,4
TXN10031,2022-10-16,Notebook Pack,Office Supplies,7,13.84,96.88,West,Emma Brown,4
TXN10032,2023-10-12,Desk Lamp,Furniture,1,32.65,32.65,South,Carol Davis,5
TXN10033,2023-03-14,Notebook Pack,Office Supplies,5,11.48,57.4,East,Frank Miller,4
TXN10034,2022-02-10,Stapler,Office Supplies,8,7.3,58.4,West,Frank Miller,5
TXN10035,2022-06-08,Stapler,Office Supplies,6,7.36,44.16,Central,Carol Davis,5
TXN10036,2023-02-26,Printer Paper,Office Supplies,8,27.72,221.76,South,Bob Smith,4
